<<<<<<< HEAD
item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series9_computer_console_01	75000								
item_tcg_loot_reward_series9_fish_tank	75000								
item_tcg_loot_reward_series9_jedi_library_bookshelf	75000								
item_tcg_loot_reward_series9_painting_imperial_propaganda	75000								
item_tcg_loot_reward_series9_vendor_serving_droid	175000								
item_tcg_loot_reward_series9_greeter_gungan	225000								
item_tcg_loot_reward_series9_aoc	75000								
item_tcg_loot_reward_series9_cwm	75000								
item_tcg_loot_reward_series9_cws	75000								
item_tcg_loot_reward_series9_djj	1000000								
item_tcg_loot_reward_series9_ew1	75000								
item_tcg_loot_reward_series9_ew2	75000								
item_tcg_loot_reward_series9_rebels	75000								
item_tcg_loot_reward_series9_ro	75000								
item_tcg_loot_reward_series9_ros	75000								
item_tcg_loot_reward_series9_tfa	75000								
item_tcg_loot_reward_series9_tlj	75000								
item_tcg_loot_reward_series9_tpm	75000								
item_tcg_loot_reward_series9_solo	75000								
item_tcg_loot_reward_series9_lepese_dictionary	35000								
item_roadmap_spice_grey_gabaki_01_02	12500								
item_roadmap_spice_scramjet_01_02	12500								
item_roadmap_spice_shadowpaw_01_02	12500								
item_roadmap_spice_sweetblossom_01_02	17500								
item_roadmap_spice_giggledust_01_02	17500								
item_roadmap_spice_yarrock_01_02	17500								
item_roadmap_spice_pyrepenol_01_02	22500								
item_roadmap_spice_sedative_h4b_01_02	22500								
item_roadmap_spice_droid_lube_01_02	22500								
item_roadmap_spice_crash_n_burn_01_02	27500								
item_roadmap_spice_gunjack_01_02	27500								
item_roadmap_spice_thruster_head_01_02	27500								
item_roadmap_spice_kwi_boost_01_02	32500								
item_roadmap_spice_kliknik_boost_01_02	32500								
item_roadmap_spice_booster_blue_01_02	37500								
item_roadmap_spice_neutron_pixey_01_02	37500								
item_roadmap_spice_muon_gold_01_02	37500								
item_schematic_spice_grey_gabaki	125000								
item_schematic_spice_scramjet	125000								
item_schematic_spice_shadowpaw	125000								
item_schematic_spice_sweetblossom	175000								
item_schematic_spice_giggledust	175000								
item_schematic_spice_yarrock	175000								
item_schematic_spice_pyrepenol	225000								
item_schematic_spice_h4b	225000								
item_schematic_spice_droid_lube	225000								
item_schematic_spice_crash_n_burn	275000								
item_schematic_spice_gunjack	275000								
item_schematic_spice_thruster_head	275000								
item_schematic_spice_booster_blue	375000								
item_schematic_spice_neutron_pixey	375000								
item_schematic_spice_muon_gold	375000								
item_tcg_series9_uniform_admiral	750000								
item_tcg_series9_uniform_grand_admiral	750000								
item_tcg_series9_uniform_grand_general	750000								
item_tcg_series9_uniform_director	750000								
item_tcg_loot_reward_series9_ds2	75000								
item_tcg_loot_reward_series9_ep9	75000								
item_tcg_loot_reward_series9_fett	75000								
item_tcg_loot_reward_series9_swr	75000								
item_tcg_loot_reward_series9_vc	75000								
item_tcg_loot_reward_series9_ep9a	75000								
item_tcg_loot_reward_series9_ep9b	75000								
item_tcg_loot_reward_series9_jawa	75000								
item_tcg_loot_reward_series9_yacht	75000								
item_tcg_loot_reward_series9_tlj2	75000								
item_tcg_loot_reward_series9_ep9c	75000								
item_tcg_loot_reward_series9_mando	75000								
item_tcg_loot_reward_series9_ep9d	75000								
item_tcg_loot_reward_series9_ep9e	75000								
=======
item	cash	token0	token1	token2	token3	token15	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_planet_hologram_corellia	100000								
item_pgc_planet_hologram_corellia_02	100000								
item_tcg_loot_reward_series5_house_sign						100			
item_tcg_loot_reward_series3_house_sign						100			
item_tcg_loot_reward_series2_barn						100			
item_tcg_loot_reward_series2_diner						100			
item_tcg_loot_reward_series2_diner_package						100			
item_tcg_loot_reward_series5_xj6_air_speeder						100			
item_tcg_loot_reward_series3_koro2_exodrive_airspeeder						100			
item_deed_landspeeder_usv5_s02						100			
item_tcg_loot_reward_series1_organa_speeder						100			
item_tcg_loot_reward_series1_mechno_chair						100			
item_tcg_loot_reward_series4_senate_pod_02_01						100			
item_senator_robe						100			
item_senator_gloves						100			
item_senator_wookiee_robe						100			
item_senator_ithorian_robe						100			
item_senator_ithorian_gloves						100			
item_tcg_loot_reward_series6_snow_jacket						100			
item_tcg_loot_reward_series1_naboo_jacket						100			
item_tcg_loot_reward_series5_ceremonial_travel_headdress						100			
item_tcg_loot_reward_series1_black_corset_dress						100			
item_tcg_loot_reward_series4_chandrilan_dress_02_01						100			
item_tcg_loot_reward_series7_handmade_sash						100			
item_tcg_loot_reward_series8_painting_hanleia						100			
item_tcg_loot_reward_series5_theater_poster						100			
item_tcg_loot_reward_series1_bas_relief						100			
item_pgc_monitorscreen						100			
item_pgc_monitorscreen_sm						100			
item_tcg_loot_reward_series5_lcd_screen						100			
item_pgc_glass_pane_01						100			
item_pgc_glass_pane_02						100			
item_tcg_loot_reward_series1_dooku_bust						100			
item_tcg_loot_reward_series2_chon_bust						100			
item_tcg_loot_reward_series1_indoor_fountain_01						100			
item_tcg_loot_reward_series1_indoor_fountain_02						100			
item_tcg_loot_reward_series1_indoor_garden_01						100			
item_tcg_loot_reward_series2_indoor_garden_02						100			
item_tcg_loot_reward_series1_display_case_01						100			
item_tcg_loot_reward_series2_display_case_02						100			
object/tangible/veteran_reward/frn_couch_falcon_corner_s01.iff						100			
